Application No,Date Of Filing Application,Date Of Publication,Title,Name of Applicant,Address,Name of inventor,Abstract,No of Pages
3356/DELNP/2009 A ,22/05/2009,01/01/2010,HYDANTOIN DERIVATIVES USED AS MMP INHIBITORS , 1)ASTRAZENECA AB  ,S-151 85 SÇôdertÇÏlje Sweden , 1)David CHAPMAN 2)Balint GABOS 3)Magnus MUNCK AF ROSENSCHOLD ,The invention provides compounds of formula (I)wherein R1 and R2are as defined in the specification; processes for their preparation; pharmaceutical compositions containing them; a process for preparing the pharmaceutical compositions; and their use in therapy. The compounds are useful as MMP inhibitors.  ,49
3357/DELNP/2009 A ,22/05/2009,01/01/2010,NUCLEASE-RESISTANT RNA APTAMER INHIBITING REPLICATION OF HEPATITIS C VIRUS REPLICON , 1)BEXCORE CO. LTD.  ,Venture Center Asan Institute for Life science Asan Medical Center 388-1 Pungnap2-dong Songpa-gu Seoul 138-736 Korea. Republic of Korea , 1)DAEWON PHARM. CO. LTD. ,"Disclosed a nuclease-resistant RNA aptamor for inhibiting the replication of HCV replicon. This aptamer is capable of binding specifically to HCV NS5B and inhibiting the proliferation of the HCV replicon, and is composed of at least one sequence selected from a group consisting of SEQ ID NOS. 3 and 4, in which a fluoro group is substituted for 2""""- hydroxy of both U (uracil) and C (cytosine) bases, and SEQ ID NO. 4, which.is tagged with a cholesteryl group at a 5"""" end and with idT at a 3"""" end. The RNA aptamer is useful in the diagnosis and treatment of HCV infection.  ",50
3315/DELNP/2009 A ,21/05/2009,01/01/2010,WIND TURBINE GENERATOR , 1)MITSUBISHI HEAVY INDUSTRIES LTD.  ,16-5 Konan 2-chome Minato-ku Tokyo 108-8215 JAPAN , 1)Masahiro KAWAI 2)Takatoshi MATSUSHITA ,"A wind turbine generator in which the temperature in a rotor head can be managed is provided. The wind turbine generator 1 includes, in a nacelle 3, a driving and generating mechanism that is connected to a rotor head 4 equipped with wind turbine blades 5, and devices are disposed inside the rotor head 4, wherein a rotary joint 30 is interposed on a driving shaft that joins the rotor head 4 and the nacelle 3, and fluid for regulating the temperature in the rotor head is supplied from the interior of the nacelle 3 into the rotor head 4 through the rotary joint 30. ",25
3358/DELNP/2009 A ,22/05/2009,01/01/2010,MULTIMODE COMMUNICATION TERMINAL AND MULTIMODE COMMUNICATION IMPLEMENTATION METHOD , 1)International Business Machines Corporation  ,New Orchard Road Armonk New York 10504 USA. , 1)LIN Yonghua 2)SONG Hong Hua 3)YANG Yudong 4)YUAN Yu 5)ZHOU You ,"The present invention provides a multimode communication terminal which contains at least a first separate channel module and a second separate channel module. The multimode communication terminal can be configured to communicate by using the first channel module and/or the second channel module. The channel modules communicate according to different communication protocols. The multimode communication terminal further compriseschannel switch layer means for switching the first channel module to have parameter characteristics consistent with those of the second channel module, so that the multimode communication terminal enables the MIMO operation mode by using the first channel module and the second channel module at the same time. The present invention further provides a method for enabling a MIMO operation mode in a multimode communication terminal. By using a relatively small number of RF communication modules, the present invention implements a wireless mobile multimode communication terminal which enables various operation modes including the MIMO operation mode. Compared with the existing solutions, the present invention greatly reduces the size required by the terminal. ",41
3361/DELNP/2009 A ,25/05/2009,01/01/2010,INFLATABLE SHELTER FOR USE IN HOSTILE ENVIRONMENT ,,,,,
3584/DELNP/2009 A ,02/06/2009,01/01/2010,"PYRAN DERIVATIVES, PROCESS OF PREPARATION AND USE THEREOF IN PERFUMERY AND FLAVOURING ", 1)V. MANE FILS  ,620 route de Grasse F-06620 Bar sur Loup France , 1)PLESSIS Caroline 2)MANE Jean ,"Pyran derivatives of general formula (I) wherein Y is a 5-, 6- or 7-membered ring, preferably a 5-membered ring, methyl or ethyl mono- or polysubstituted, and optionally unsaturated, and R1, R2, R3, R4 are, each independently, a hydrogen atom or a linear or branched C1-5 alkyl or C2-5 alkenyl group, and X is present or absent; when X is present, R5, R6, R7, R8, R9 are all present, and X is a hydrogen atom or an OZ group, wherein Z is a hydrogen atom or a R10 group or a C(O)R10 group; when X is absent, a double bond involving the carbon atom at the 4 position is present and R7, R8 and R9 are present, and one of R5 or R6 is present and the other one is absent, or R5, R6, and R7 are present, and one of R8 or R9 is present and the other one is absent, or R7 is a =C (R11) (R12) group and R5, R6, R8, R9 are present; and when they are present, each of R5-R12 group is, independently, a hydrogen atom or a linear or branched C1-5 alkyl or C2-5 alkenyl group; and use of at least one pyran derivative of formula (I) as flavouring or fragrant agent. ",31
3585/DELNP/2009 A ,02/06/2009,01/01/2010,DEPOSIT DEACTIVATION TREATMENT METHOD , 1)MITSUBISHI CHEMICAL CORPORATION  ,14-1 Shiba 4-chome Minato-ku Tokyo 108-0014 Japan , 1)Hiroki EMOTO 2)Kazuyuki YOKOYAMA ,"A method of treatment by which a deposit adherent to, e.g., the inside of a reactor in a process for producing an ×ñ-olefin oligomer is deactivated. After completion of the production of an ethylene oligomer in a reactor (10) in the presence of a chromium-based catalyst, a hydrocarbon solution containing an electron-donating compound such as water or an alcohol is supplied to the reactor (10) and a heat exchanger (16) to deactivate a deposit adherent thereto.  ",42
2976/DELNP/2009 A ,04/05/2009,01/01/2010,VACUUM LINE CLEAN-OUT SEPARATOR SYSTEM , 1)TBW INDUSTRIES  ,PO Box 336 Furlong PA 18925 United States of America , 1)BENNER Stephen J. ,"A vacuum clean-out system including a separator chamber and associated collection chamber for removing liquid material and debris from a vacuum output and providing a vacuum return line free of contaminants. A vacuum exhaust line is coupled to a cyclonic separator chamber that induces a circular rotation within the incoming vacuum stream, causing the liquid and debris to fall to the botto while the """"clean"""" vacuum is drawn upwards into a return line. The collection chamber is at the same negative pressure as the separator chamber so that accumulating liquid and debris easily drains into the collection chamber. A sensor associated with the collection chamber determines when the collection chamber is full. At that point, the separator chamber is isolated from the collection chamber, the collection chamber is vented and the accumulated material is discharged and/or analyzed. The separator chamber can continue the vacuum clean-out process uninterrupted  ",18
3058/DELNP/2009 A ,11/05/2009,01/01/2010,"TEMPORAL INTRALUMINAL STENT, METHODS OF MAKING AND USING ", 1)BIOSENSORS INTERNATIONAL GROUP  ,41 Cedar Avenue Cedar House Hamilton HM EX Bermuda United States of America , 1)SU Shih-Horng 2)SHULZE John E. 3)DUTTA Debashis ,A biodegradable polymer stent with radiopacity and a method of making and using a stent with enhanced mechanical strength and/or controlled degradation for use in a bodily lumen is described.  ,50
3575/DELNP/2009 A ,01/06/2009,01/01/2010,POROUS BIORESORBABLE DRESSING CONFORMABLE TO A WOUND AND METHODS OF MAKING SAME , 1)KCI LICENSING INC.  ,Legal Department-Intellectual Property P.O. Box 659508 San Antonio TX 78265-9508 United States of America , 1)AMBROSIO Archel 2)PAYNE Joanna 3)KIESWETTER Kristine ,"Methods, system and compositions for making and using a bioresorbable linked dressing made of bioresorbable microspheres in various configurations are provided for use in applying reduced pressure to a wound site. The methods include manufacture of a bioresorbable dressing comprising a casing and bioresorbable microspheres in the form of a rope shape. Further, the casing of the dressing comprises pores formed by a porogen system that may be activated by external to the wound or formed in situ within the wound site. The shape of the dressing allows the dressing to be placed into the wound site such that it fills the shape and size of the wound. Embodiments include formation of various rope dressing and their use in conjunction with reduced pressure therapy  ",31
3576/DELNP/2009 A ,01/06/2009,01/01/2010,IMPROVING THE TRANSFER OF SLURRY IN A BAYER PROCESS , 1)NALCO COMPANY  ,1601 W. Diehl Road Naperville Illinois 60563-1198 United States of America , 1)PHILLIPS Everett C. 2)STROMINGER Michael G. 3)DIMAS Peter A. ,"The present disclosure is directed to a method of improving the transfer of slurry in a Bayer process through the addition of one or more chemical species to a Bayer process, wherein said chemical species is selected from the group consisting ofnon-ionic surfactants, polyglycols, polyglycol ethers, anionic surfactants, anionic polymers, and a combination thereof. The present invention is also directed to a method of deaerating a slurry in a Bayer process through the addition of an effective amount of one or more chemical species to a Bayer process, wherein said chemical species is selected from the group consisting ofnon-ionic surfactants, polyglycols, polyglycol ethers, anionic surfactants, anionic polymers, and a combination thereof.  ",17
3577/DELNP/2009 A ,02/06/2009,01/01/2010,NUTRITIONAL PRODUCTS COMPRISING SACCHARIDE OLIGOMERS , 1)N.V. NUTRICIA  ,Eerste Stationsstraat 186 NL-2712 HM Zoetermeer The Netherlands. , 1)VAN DE HEIJNING HUBERTUS JOSEPHUS MARIA 2)BOURITIUS HOUKJE 3)VAN LAERE KATRIEN MARIA JOZEFA 4)HAGEMAN ROBERT JOHAN JOSEPH ,"Indigestible oligosaccharides having a molecular weight of 450 Da to 3700 Da are used for the improvement of insulin resistance, the prevention of post-prandial glycaemic dip, and/or the decrease of the post-prandial glucose response of a meal, which is consumed within 72 hours after the consumption of the first product. The oligosaccharides are especially galacto-oligosaccharides, and are advantageously administered a few hours prior to having the meal.  ",22
3454/DELNP/2009 A ,27/05/2009,01/01/2010,"""TEST KIT FOR DETECTING CANCERS"" ", 1)BEIJING ACCB BIOTECH LTD.  ,"ROOM 207, SUITE C, BEIQIONG ROAD NO. 103, YONGFENG INDUSTRIAL BASE, HAIDIAN DISTRICT, BEING 10094, P. R. CHINA. "," 1)XU, JUNPU 2)CHEN, ZHAO 3)ZHOU, HAIMENG 4)DAI, JIE 5)HE, BIAO ","The present invention relates to a kit for assaying the activity of the human arylsulphatase or its isozymes, including 4-MUS and 4-MU. The kit can be used for initial screening, therapeutic effect monitoring and recurrence inspecting of human cancers.  ",23
3455/DELNP/2009 A ,27/05/2009,01/01/2010,METHOD AND APPARATUS FOR DISCRIMINATING BETWEEN CONTROL MESSAGES AND SPEECH PAYLOAD , 1)TELEFONAKTIEBOLAGET LM ERICSSON (PUBL)  ,SE-164 83 STOCKHOLM (SE) Sweden ," 1)SCHLIWA-BERTLING, PAUL 2)JOHANSSON, INGEMAR 3)DIACHINA, JOHN, WALTER ",A base station detects the transition of a mobile station from a DTX mode to a continuous transmission mode. The base station schedules an uplink transmission by the mobile station during an uplink transmission period while the mobile station is in DTX mode and receives an uplink LLC PDU from said mobile station during the scheduled uplink transmission periods. The base station determines the operating mode of the mobile station based on the size of the received uplink LLC PDU.  ,21
3456/DELNP/2009 A ,27/05/2009,01/01/2010,METHOD FOR HANDLING LARGE AMOUNTS OF STANDARD AIRLINE FARES DATA , 1)AMADEUS S.A.S  ,"485 ROUTE DU PIN MONTARD-SOPHIA ANTIPOLIS, F-06410 BIOT (FR) France "," 1)DOURTHE, CEDRIC 2)DURFRESNES, THIERRY 3)MELET, PIERRE ETIENNE 4)CHAUMONT, GILLES ",A method for handling large amounts of standard data contained in one or more databases conforming to a standard data model is described. When large amounts of standard data are needed to answer requests of end-users of a software application the method of the invention assumes that a significantly reduced amount of metadata useable by the software application are first built out of the large amounts of standard data. The metadata are stored in an intermediate database of metadata and delivered to the software application through a metadata engine in lieu of the large amounts of standard data. The invention allows software application to consider much larger amounts of standard data to better answer end-user requests in an acceptable elapsed time.  ,22
3457/DELNP/2009 A ,27/05/2009,01/01/2010,"""HYDROGENATION OF CATMINT OIL"" ", 1)E. I. DU PONT DE NEMOURS AND COMPANY  ,"1007 MARKET STREET, WILMINGTON, DELAWARE 19898, U.S.A. "," 1)JACKSON, SCOTT, CHRISTOPHER 2)MANZER, LEO, ERNEST 3)SCHLEINITZ, HENRY, MAX 4)SCIALDONE, MARK, A. 5)HUTCHENSON, KEITH, W. ","Abstract of the Invention Disclosed are methods for treating catmint oil. The treated catmint oil can be used for the production of hydrogenated catmint oil, which is enriched in the insect repellent, dihydronepetalactone.  ",36
3572/DELNP/2009 A ,01/06/2009,01/01/2010,POROUS BIORESORBABLE LINKED DRESSING COMPRISING MICROSPHERES AND METHODS OF MAKING SAME , 1)KCI LICENSING INC.  ,Legal Department-Intellectual Property P.O. Box 659508 San Antonio TX 78265-9508 United States of America , 1)AMBROSIO Archel 2)PAYNE Joanna ,"Methods, system and compositions for making and using a bioresorbable linked dressing made of bioresorbable microspheres in various configurations are provided for use in applying reduced pressure to a wound site. The methods include manufacture of a bioresorbable dressing comprising a casing and bioresorbable microspheres in the form of a rope shape. Further, the casing of the dressing comprises pores formed by a porogen system that may be activated by external to the wound or formed in situ within the wound site. The shape of the dressing allows the dressing to be placed into the wound site such that it fills the shape and size of the wound. Embodiments include formation of various rope dressing and their use in conjunction with reduced pressure therapy.  ",46
3623/DELNP/2009 A ,03/06/2009,01/01/2010,WIND TURBINE GENERATOR AND YAW DRIVING METHOD FOR WIND TURBINE GENERATOR , 1)MITSUBISHI HEAVY INDUSTRIES LTD.  ,16-5 Konan 2-chome Minato-ku Tokyo 108-8215 Japan , 1)Yoshiyuki HAYASHI 2)Masaaki SHIBATA ,"A yaw drive device is completely or partially eliminated and electric power consumption in a nacelle is reduced. Moment with respect to the axis of an impeller tower is calculated, and an angle command value with respect to the axis of the impeller tower is calculated by adding a yaw control command value to a reference command value for canceling the calculated moment. Then, a pitch angle command value for each impeller blade is set based on the angle command value with respect to the axis of the impeller tower.  ",24
3317/DELNP/2009 A ,21/05/2009,01/01/2010,PROCESS FOR PROVIDING AN EXTENDED TUBULAR ARTICLE WITH A CORROSION PROTECTION COATING SYSTEM HAVING SELF-REPARING PROPERTIES , 1)Frans Nooren Afdichtingssystemen B.V.  ,Gasselterstraat 20 NL-9503 JB Stadskanaal The Netherlands , 1)NOOREN Frans ,"The present invention A process for providing an extended tubular article or one or more sections of the extended tubular article with a corrosion protecting system, wherein (a) a layer of an adhesive composition is applied to the surface of the extended tubular article or the one or more sections of the extended tubular article, and (b) a corrosion protecting layer is applied to the layer of the adhesive composition, the adhesive composition comprising a polyolefin blend, wherein the polyolefin blend comprises 30 % to 100 % by weight of a polyisobutene and 0 % to 70 % by weight of an olefin polymer, based on the total weight of the polyolefin blend, wherein said polyisobutene is has a glass transition temperature of lower than -40øC and a number average molecular weight Mn of 1300 to 1.000.000.  ",19
3424/DELNP/2009 A ,26/05/2009,01/01/2010,APPARATUS AND METHOD FOR MANUFACTURING MOLTEL IRON , 1)POSCO  ,1 Goedong-dong Nam-ku Pohang-shi Kyungsangbuk-do 790-300 Republic of Korea. , 1)CHO Min-Young 2)SHIN Myoung-Kyun 3)KIM Hang-Goo 4)LEE Hoo-Geun 5)JOO Sang-Hoon ,"The present invention relates to an apparatus and method for manufacturing molten iron while reusing an offgas of the packed bed reduction reactor and improving energy efficiency. A method for manufacturing molten iron includes i) charging fine ore into at least one fluidized-bed reduction reactor and manufacturing reduced iron; ii) compacting the reduced iron and manufacturing compacted reduced iron; iii) charging the reduced iron into a packed bed reduction reactor and reducing the reduced iron again; iv) charging the re-reduced iron into a melter-gasifier; v) charging lumped carbonaceous materials into the melter- gasifier and forming a coal packed bed in the melter-gasifier; vi) injecting oxygen into the melter-gasifier and combusting the coal packed bed, thereby melting the re-reduced iron and manufacturing molten iron; and vii) supplying an offgas that is discharged from the packed bed reduction reactor to the fluidized-bed reduction reactor.  ",28
3425/DELNP/2009 A ,26/05/2009,01/01/2010,HYBRID IMMUNOGLOBULINS WITH MOVING PARTS , 1)Daniel J. Capon  ,555 Craig Road Hillsborough CA 94010 United States of America. , 1)Daniel J. Capon ,"Hybrid immunoglobulines containing moving parts are provided as well as related compositions and methods of use and methods of production. In addition, analogous genetic devices are provided as well as related compositions and methods of use and methods of production.  ",362
3670/DELNP/2009 A ,04/06/2009,01/01/2010,"""METHOD AND APPARATUS OF ENABLING MULTI BAND TRANSMISSION"" ", 1)INTERDIGITAL TECHNOLOGY CORPORATION  ,"3411 SILVERSIDE ROAD, CONCORD PLAZA, SUITE 105, HAGLEY BUILDING, WIMINGTON, DELAWARE 19810, U.S.A. "," 1)ZUNIGA, JUAN CARLOS 2)GRANDHI, SUDHEER, A. 3)SAMMOUR, MOHAMMED 4)LIVET, CATHERINE ",A method and apparatus for enabling multi-band transmission includes transmitting a beacon on a first radio band and transmitting the beacon on a second radio band. The beacon includes coordination information for transmission on the first and second radio bands.  ,18
3375/DELNP/2009 A ,25/05/2009,01/01/2010,LUCIFERASE SIGNAL ENHANCNG COMPOSITIONS , 1)GENE STREAM PTY LTD.  ,96 Chipping Road City Beach Western Australia 6015 Australia , 1)LEU Marco Peter 2)DALY John Michael ,"Reagents and compositions for use in reactions catalysed by luciferase enzymes, and in particular for use in luciferase-based gene reporter assays are described. The invention also provides methods and compositions for, inter alia, increasing the sensitivity and/or improving the kinetics of luciferase-catalysed reactions.  ",85
3487/DELNP/2009 A ,28/05/2009,01/01/2010,APPARATUS FOR MANUFACTURING MOLTEL IRON AND METHOD FOR MANUFACTURING MOLTEN IRON , 1)POSCO  ,1 Goedong-dong Nam-ku Pohang-shi Kyungsangbuk-do 790-300 Republic of Korea. , 1)LEE Jun-Hyuk 2)KIM Hang-Goo 3)SHIN Myoung-Kyun 4)CHO Min-Young ,An apparatus for manufacturing molten iron according to an embodiment of the present invention includes i) at least one fluidized-bed reduction reactor that reduces and plasticizes fine iron; ii) an apparatus for manufacturing compacted iron that molds the fine iron and manufactures compacted iron; iii) a melter-gasifier into which the compacted iron is charged and oxygen is injected; iv) a reducing gas supply line that supplies reducing gas discharged from the melter-gasifier to the fluidized-bed reduction reactor; and v) a fine particle injecting device that injects viscosity reducing materials into the reducing gas such that viscosity of dust contained in the reducing gas is reduced. The melter-gasifier manufactures molten iron.  ,16
3488/DELNP/2009 A ,28/05/2009,01/01/2010,APPARATUS FOR MANUFACTURING COMPACTED IRONS AND APPARATUS FOR MANUFACTURING MOLTEN IRON COMPRISING THE SAME , 1)POSCO  ,1 Goedong-dong Nam-ku Pohang-shi Kyungsangbuk-do 790-300 Republic of Korea , 1)CHO Il-Hyun 2)SHIN Myung-Chan 3)KIM Do-Seung ,"An apparatus for manufacturing compacted iron according to the present invention includes at least one pair of molding rolls that compress fine materials and manufacture compacted iron, and a crusher that crushes the compacted iron manufactured in the molding rolls. The crusher includes a shaft that is provided with a cooling passage, and a roll that is provided with protrusions on an outer radial surface thereof and surrounds the shaft to be combined therewith.  ",21
3489/DELNP/2009 A ,28/05/2009,01/01/2010,APPARATUS FOR RESTORING FINE IRONS AND APPARATUS FOR MANUFACTURING MOLTEN IRON COMPRISING THE SAME , 1)POSCO  ,1 Goedong-dong Nam-ku Pohang-shi Kyungsangbuk-do 790-300 Republic of Korea , 1)KIM Su-Yeon 2)CHO-Il-Hyun 3)KIM Do-Seung ,"The present invention relates to an apparatus for restoring fine ore and an apparatus for manufacturing molten iron including the same. An apparatus for restoring fine iron includes a fine iron storage bin, and a cyclone that collects fine iron in an offgas that is supplied from the fine iron storage bin.  ",17
3527/DELNP/2009 A ,29/05/2009,01/01/2010,WIND-POWERED AERATOR , 1)TECH SUB INDUSTRIE ENVIRONNEMENT  ,16 rue RenÇ¸ Cassin 62223 Saint Laurent Blangy France. , 1)BOUDRIAS Dany ,"The invention relates to a wind-powered aerator (1) intended to stir water, particularly stagnant water, comprising a platform (2) equipped with at least one float (3), a vertical axis air sensor (4) of the Savonius rotor type, water-stirring means (5) and a transmission device (6) between said air sensor (4) and said stirring means (5). This wind-powered aerator is characterized in that the aerator further comprises at least one additional air sensor positioned on said transmission device (6) and directed substantially at right angles to the main sensor (4).  ",11
3609/DELNP/2009 A ,03/06/2009,01/01/2010,DIAPHRAGM ENTRY FOR POSTERIOR SURGICAL ACCESS , 1)NCONTACT SURGICAL INC.  ,1001 Aviation Parkway Suite 400 Morrisville NC 27560 United States of America , 1)WHAYNE James G. 2)FLEISCHMAN Sidney D. 3)ROGERS Earl Wayne 4)NEUBERT Rebecca Wayne ,Methods and devices described herein facilitate improved treatment of body organs.  ,75
3683/DELNP/2009 A ,05/06/2009,01/01/2010,"""BETA-NUCLEATING AGENT FOR POLYROPYLENE AND PROCESS FOR ITS PREPARATION"" ", 1)BOREALIS TECHNOLOGY OY  ,"P.O.BOX 330, FIN-06101 PORVOO, FINLAND ", 1)JOHANNES WOLF-SCHWENGER 2)MARKUS GAHLEITNER ,"The present invention relates to a novel -nucleating agent and a process for preparing same. Preferably, the B-nu-cleating agent is a water-free admixture of calcium carbonate and a calcium salt of a dibasic organic acid.  ",16
2972/DELNP/2009 A ,04/05/2009,01/01/2010,WATER SCREEN SYSTEM WITH COMPRESSIBLE BOOT SEAL , 1)LAITRAM L.L.C.  ,Legal Department 220 Laitram Lane Harahan Louisiana 70123 United States of America , 1)WUNSCH Philip J. 2)PORTILLO Rocky ,"A compressible boot seal for sealing the side of a vertical traveling water screen with flights. The boot seal is formed by a U-shaped, bent nylon plate having a bottom base that resides in the boot section at the lower end of the traveling water screen and two upwardly extending arms that are attached at their distal ends to a side of the water screen support. The plate is bent at the intersection of the base and the arms to form a living hinge that allows the plate to deflect toward the side of the support on contact with side edges of the flights. The hinge seals the plate against the side edges of the flights. A resilient filler material fills the void between the plate and the side of the support to prevent sand and debris from interfering with the deflection of the side seal  ",18
2973/DELNP/2009 A ,04/05/2009,01/01/2010,OPTICAL MODULATOR UTILIZING MULTI-LEVEL SIGNALING , 1)SIOPTICAL INC.  ,7540 Windsor Drive Lower Level Allentown PA 18195 United States of America , 1)SHASTRI Kalpendu 2)DAMA Bipin ,"An optical modulator is formed to include a plurality of separate electrodes disposed along one arm, the electrodes having different lengths and driven with different signals to provide for multi-level signaling (e.g., PAM-4 signaling). By using separate drivers to energize the different sections, the number of sections energized at a given point in time will define the net phase shift introduced to the optical signal. The total length of the combined modulator sections is associated with a phase shift (180ø). Each section is driven by either a digital ""one"" or ""zero"", so as to create the multi-level modulation. An essentially equal change in power between adjacent transmitted symbols is accomplished by properly adjusting the lengths of each individual section.  ",18
2974/DELNP/2009 A ,04/05/2009,01/01/2010,REDUCED PRESSURE DELIVERY SYSTEM HAVING A MANUALLY-ACTIVATED PUMP FOR PROVIDING TREATMENT TO LOW-SEVERITY WOUNDS , 1)KCI LICENSING INC.  ,Legal Department-Intellectual Property P.O. Box 659508 San Antonio TX 78265-9508 United States of America , 1)HEATON Keith Patrick 2)HARDMAN Ian James ,"A manually-activated reduced pressure treatment system includes a substantially rigid housing, and an end cap slidingly received by the housing. An inner chamber is disposed between the end cap and housing, and a volume of the inner chamber is variable in amount depending on the position of the end cap within the housing. The end cap is slidingly movable between an uncompressed position at which the volume of the inner chamber is at a maximum value and a compressed position at which the volume of the inner chamber is at a minimum value. A position indicating member is associated with the end cap and housing to indicate the position of the end cap relative to the housing at predetermined positions between the uncompressed position and the compressed position  ",23
3021/DELNP/2009 A ,06/05/2009,01/01/2010,METHOD OF NEUTRALIZING WASTE DEVELOPING SOLUTION CONTAINING TETRAALKYLAMMONIUM HYDROXIDE , 1)Tokuyama Corporation  ,1-1 Mikage-cho Shunan-shi Yamaguchi 745-8648 Japan , 1)YAMASHITA Yoshifumi 2)OOKIDO Hajime 3)NAKAMOTO Tatsuya ,"A method of neutralizing a developer waste liquid containing a tetraalkylammonium hydroxide wherein an organic matter derived from photoresist is dissolved through reaction with carbon dioxide gas, in which clogging by intra-column resist precipitation at neutralization can be effectively prevented and in which resist precipitated at neutralization ensures a high filterability and can be effectively removed. The method of neutralizing a developer waste liquid containing a tetraalkylammonium hydroxide comprises adding carbon dioxide gas to a developer waste liquid containing tetraalkylammonium hydroxide of 13 or higher pH value in which an organic matter derived from photoresist is dissolved to thereby carry out neutralization to a pH value of 11.5 or below, wherein the rate of carbon dioxide gas added from the time at which the pH of the developer waste liquid is 13 to the time at which the pH reaches 12 is 0.15 L/hr or less per mol of tetraalkylammonium hydroxide contained in the developer waste liquid at the time of pH 13. ",29
3586/DELNP/2009 A ,02/06/2009,01/01/2010,CABLE CONNECTORS FOR A PHOTOVOLTAIC MODULE AND METHOD OF INSTALLING , 1)BP CORPORATION NORTH AMERICA INC.  ,4101 Winfield Road Warrenville Illinois 60555 United States of America; , 1)CUNNINGHAM Daniel W. 2)KELLY George J. 3)AMIN Dinesh S. ,"A photovoltaic module having reliable connections between internal electrical terminals and output cables. The module is comprised of a backing sheet and a cover transparent sheet with a bus bar positioned therebetween. A plurality of photovoltaic (PV) cells are connected in series which, in turn, are connected to a positive and a negative terminal on the bus bar. Male connectors are connected to the positive and the negative terminals. The components are then laminated to form the module with the male connectors inside the backing sheet. To expose the male connectors, openings are formed through the backing sheet and the tapered ends of the male connectors are bent outward to be mated with female connectors on the respective cables. The connections are then soldered to provide output connections for the module.  ",20
3694/DELNP/2009 A ,05/06/2009,01/01/2010,"IMIDAZO[1,2-B]PYRIDAZINE AND PYRAZOLO[1,5-A]PYRIMIDINE DERIVATIVES AND THEIR USE AS PROTEIN KINASE INHIBITORS ", 1)SUPERGEN INC.  ,4140 Dublin Boulevard Suite 200 Dublin California 94568 United States of America , 1)BEARSS David J. 2)LIU Xiao-Hui 3)VANKAYALAPATI Hariprasad 4)XU Yong ,"The present invention provides protein kinase inhibitors comprising imidazo[1,2-b]pyridazine and pyrazolo[1,5-a]pyrimidine compounds of the following structure (I) and (II)or a stereoisomer, prodrug or pharmaceutically acceptable salt thereof, wherein R, R1, R2 and X are as defined herein. Compositions and methods for using the same in the treatment of cancer and other Pim kinase-associated conditions are also disclosed.  ",106
3700/DELNP/2009 A ,05/06/2009,01/01/2010,POST-HARVEST TREATMENT OF FRUITS WITH AN ANTIFUNGAL COMPOSITION , 1)DSM IP ASSETS B.V  ,"HET OVERLOON 1, NL-6411 TE HEERLEN, THE NETHERLANDS "," 1)STARK, JACOBUS 2)VAN RIJN, FERDINAND THEODORUS JOZEF 3)HUNIK, JAN HENDRIK ",The present invention relates to the treatment of wounds occurring from cutting bananas and pineapples from a tree with a composition containing natamycin and at least one phosphite containing compound.  ,18
3711/DELNP/2009 A ,08/06/2009,01/01/2010,"RADIATION CURING COMPOSITION FOR OPTICAL RECORDING MEDIUM, AND OPTICAL RECORDING MEDIUM ", 1)MITSUBISHI CHEMICAL CORPORATION  ,14-1 Shiba 4-chome Minato-ku Tokyo 108-0014 Japan , 1)Akira ESAKI 2)Tomoaki HIWATASHI ,"In order to provide a radiation-curable composition which exhibits corrosion proof while maintaining mechanical properties and preservation stability and an optical recording medium using the composition, the radiation-curable composition for an optical recording medium comprises a urethane (meth)acrylate compound (A) and a compound (C) containing one or more epoxy groups, and has an acid content of 1.0Ç—10-4 eq/g or less.  ",79
3753/DELNP/2009 A ,09/06/2009,01/01/2010,LED REFLECTIVE PACKAGE , 1)QUANTUM LEAP PACKAGING INC  ,200 Research Drive Wilmington MA 01887 (US). U.S.A. , 1)ZIMMERMAN Michael A. ,"An LED package which employs a high temperature plastic or polymeric material which is compatible with gold-tin eutectic solder and which can replace the higher cost ceramic used in conventional LED packages. The novel LED package has a high thermal conductivity substrate, a high reflectivity for visible light and/or UV light, and good aging properties. The high temperature material is a high temperature liquid crystal polymer having a melting temperature greater than about 340øC and has small filler particles near the surface, the particles having a refractive index greater than about 2.0, and a size range of about 0.2 to 0.3 microns. For an LED package which is reflective to UV light, a UV stabilizer can be included in the plastic material to improve reflectivity in the ultraviolet supectrum and to protect from W degradation of the plastic material which can be caused by W light emitted by some LEDs.  ",13
3491/DELNP/2009 A ,28/05/2009,01/01/2010,"System, Method and Apparatus for Realizing Multimedia Call Continuity ", 1)Huawei Technologies Co. Ltd.  ,Huawei Administration Building Bantian Longgang District Shenzhen Guangdong 518129 P.R. China. , 1)WU Dongjun ,"A system, method and apparatus for realizing multimedia call continuity solve the problem raised when a domain handover happens, part of the media stream in the multimedia session can not be handed over between the carriers of different access modes. The system includes a remote UE, anda multimedia terminal MTF UE, which supports the media stream handover between multiple modes, and adds the media stream handover context information into the originated media stream handover request; and a media transfer function MTF, which acts as an agent and initiates a media renegotiation with the remote UE according to the media stream handover contextinformation contained in the request; and after the media renegotiation, the MTF UE or the MTF is used to release the media stream which needs to be handed over before the media renegotiation. Therefore, the media stream can be handed over between the carriers of different access modes that the MTF UE supports, when a domain handover happens. ",57
